-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 04:32:53 | Step: 3950 | Train Loss: 0.3768
Time: 2025-06-14 04:33:16 | Step: 4000 | Train Loss: 0.4011
Time: 2025-06-14 04:33:38 | Step: 4050 | Train Loss: 0.4196
Time: 2025-06-14 04:34:01 | Step: 4100 | Train Loss: 0.3282
Time: 2025-06-14 04:34:24 | Step: 4150 | Train Loss: 0.4471
Time: 2025-06-14 04:34:46 | Step: 4200 | Train Loss: 0.4254
Time: 2025-06-14 04:35:09 | Step: 4250 | Train Loss: 0.4400
Time: 2025-06-14 04:35:31 | Step: 4300 | Train Loss: 0.3821
Time: 2025-06-14 04:35:54 | Step: 4350 | Train Loss: 0.5252
Time: 2025-06-14 04:36:16 | Step: 4400 | Train Loss: 0.3329
-------------------------
Time: 2025-06-14 04:37:29 | *** Validation Epoch 1 End ***
  - Val Loss: 0.3957
  - Val Acc:  0.8100
  - Val F1:   0.7971
-------------------------
Time: 2025-06-14 04:37:53 | Step: 4450 | Train Loss: 0.3551
Time: 2025-06-14 04:38:16 | Step: 4500 | Train Loss: 0.3987
Time: 2025-06-14 04:38:38 | Step: 4550 | Train Loss: 0.3758
Time: 2025-06-14 04:39:01 | Step: 4600 | Train Loss: 0.4355
Time: 2025-06-14 04:39:23 | Step: 4650 | Train Loss: 0.3913
Time: 2025-06-14 04:39:46 | Step: 4700 | Train Loss: 0.5271
Time: 2025-06-14 04:40:08 | Step: 4750 | Train Loss: 0.4015
Time: 2025-06-14 04:40:31 | Step: 4800 | Train Loss: 0.4285
Time: 2025-06-14 04:40:53 | Step: 4850 | Train Loss: 0.3856
Time: 2025-06-14 04:41:16 | Step: 4900 | Train Loss: 0.3633
