0	N/A	N/A	0.6584	0.6317	0.3871
1	0.6596	N/A	0.6585	0.6317	0.3871
2	0.6593	N/A	0.6581	0.6317	0.3871
3	0.6591	N/A	0.6593	0.6317	0.3871
4	0.6590	N/A	0.6581	0.6317	0.3871
5	0.6590	N/A	0.6583	0.6317	0.3871
6	0.6590	N/A	0.6583	0.6317	0.3871
7	0.6590	N/A	0.6582	0.6317	0.3871
8	0.6590	N/A	0.6582	0.6317	0.3871
9	0.6589	N/A	0.6582	0.6317	0.3871
10	0.6589	N/A	0.6581	0.6317	0.3871
11	0.6589	N/A	0.6581	0.6317	0.3871
12	0.6588	N/A	0.6581	0.6317	0.3871
13	0.6589	N/A	0.6581	0.6317	0.3871
14	0.6588	N/A	0.6581	0.6317	0.3871
15	0.6588	N/A	0.6587	0.6317	0.3871
16	0.6588	N/A	0.6581	0.6317	0.3871
17	0.6588	N/A	0.6582	0.6317	0.3871
18	0.6588	N/A	0.6581	0.6317	0.3871
19	0.6588	N/A	0.6582	0.6317	0.3871
